id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
A001044,Luxury Thai Beef Salad,Grilled Beef | Mint | Puffed Rice Noodles | Cilantro | Thai Nampla Dressing (SF),in stock,new,60.00 AED,https://yourwebsite.com/menu/A001044,http://43.205.113.48/iposapi/images/Item10442.png,Restaurant,100,,,,,all ages,,,,,A001044,,,
502028,Poke Bowl Ceviche,Poke Bowl Ceviche from Salad category,in stock,new,79.00 AED,https://yourwebsite.com/menu/502028,http://43.205.113.48/iposapi/images/Cat12.png,Restaurant,100,,,,,all ages,,,,,502028,,,
502020,POKE BOWL CHICKEN,POKE BOWL CHICKEN from Salad category,in stock,new,75.00 AED,https://yourwebsite.com/menu/502020,http://43.205.113.48/iposapi/images/Cat12.png,Restaurant,100,,,,,all ages,,,,,502020,,,
502025,watermelon Feta salad,watermelon Feta salad from Salad category,in stock,new,69.00 AED,https://yourwebsite.com/menu/502025,http://43.205.113.48/iposapi/images/Cat12.png,Restaurant,100,,,,,all ages,,,,,502025,,,
A001046,Butter Chicken,Biryani Rice | Pappadam | Mint Raita | Mango Chutney,in stock,new,50.00 AED,https://yourwebsite.com/menu/A001046,http://43.205.113.48/iposapi/images/Item10462.png,Restaurant,100,,,,,all ages,,,,,A001046,,,
A001049,Chana Masala,Chana Masala from Main Dishes category,in stock,new,40.00 AED,https://yourwebsite.com/menu/A001049,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,A001049,,,
123,Chicken Biriyani,Chicken Biriyani from Main Dishes category,in stock,new,20.00 AED,https://yourwebsite.com/menu/123,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,123,,,
A001038,chicken tikka masala,chicken tikka masala from Main Dishes category,in stock,new,45.00 AED,https://yourwebsite.com/menu/A001038,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,A001038,,,
A001050,FISH TIKKA MASALA,FISH TIKKA MASALA from Main Dishes category,in stock,new,55.00 AED,https://yourwebsite.com/menu/A001050,http://43.205.113.48/iposapi/images/Item10502.png,Restaurant,100,,,,,all ages,,,,,A001050,,,
502027,Grilled Salmon Spring Vegetable,Grilled Salmon Spring Vegetable from Main Dishes category,in stock,new,119.00 AED,https://yourwebsite.com/menu/502027,http://43.205.113.48/iposapi/images/Cat52.png,Restaurant,100,,,,,all ages,,,,,502027,,,
